document_id,filename,section,rule_id,risk_name,severity,clause_text,review_note
CON-01,contract_01.pdf,제4조 검수기준불명확,R010,검수기준불명확,medium,검수는 발주자의 내부 기준에 따라 진행하며 세부 기준은 별도로 공개하지 않는다.,계약서 검토 시 위험 여부와 근거를 확인
CON-01,contract_01.pdf,제5조 개인정보재위탁,R007,개인정보재위탁,high,수탁자는 별도 승인 없이 개인정보 처리 업무를 제3자에게 재위탁할 수 있다.,계약서 검토 시 위험 여부와 근거를 확인
CON-01,contract_01.pdf,제6조 지식재산전면양도,R006,지식재산전면양도,high,계약 수행 중 사용된 기존 기술을 포함한 모든 지식재산권은 발주자에게 무상으로 이전된다.,계약서 검토 시 위험 여부와 근거를 확인
CON-01,contract_01.pdf,제7조 기존IP보호,N006,기존IP보호,low,각 당사자가 계약 체결 전 보유한 지식재산권은 원 소유자에게 귀속된다.,계약서 검토 시 위험 여부와 근거를 확인
CON-01,contract_01.pdf,제8조 지급기한,N003,지급기한,low,검수 완료 및 세금계산서 수령 후 30일 이내에 대금을 지급한다.,계약서 검토 시 위험 여부와 근거를 확인
CON-01,contract_01.pdf,제9조 해지절차,N002,해지절차,low,중대한 계약 위반이 발생한 경우 상대방에게 30일의 시정기간을 부여한 후 해지할 수 있다.,계약서 검토 시 위험 여부와 근거를 확인
CON-02,contract_02.pdf,제4조 일방해지,R002,일방해지,high,발주자는 사유를 밝히지 않고 언제든지 즉시 계약을 해지할 수 있으며 공급자는 이의를 제기할 수 없다.,계약서 검토 시 위험 여부와 근거를 확인
CON-02,contract_02.pdf,제5조 준거법불리,R012,준거법불리,medium,모든 분쟁은 공급자의 소재지와 무관하게 해외 특정 지역의 전속관할로 한다.,계약서 검토 시 위험 여부와 근거를 확인
CON-02,contract_02.pdf,제6조 자동갱신,R004,자동갱신,medium,계약 만료 90일 전 서면 해지 통보가 없으면 동일 조건으로 2년 자동 연장된다.,계약서 검토 시 위험 여부와 근거를 확인
CON-02,contract_02.pdf,제7조 검수기준불명확,R010,검수기준불명확,medium,검수는 발주자의 내부 기준에 따라 진행하며 세부 기준은 별도로 공개하지 않는다.,계약서 검토 시 위험 여부와 근거를 확인
CON-02,contract_02.pdf,제8조 책임무제한,R001,책임무제한,high,공급자는 어떠한 사유로 발생한 모든 손해에 대하여 금액의 제한 없이 배상한다.,계약서 검토 시 위험 여부와 근거를 확인
CON-02,contract_02.pdf,제9조 지급기한,N003,지급기한,low,검수 완료 및 세금계산서 수령 후 30일 이내에 대금을 지급한다.,계약서 검토 시 위험 여부와 근거를 확인
CON-02,contract_02.pdf,제10조 해지절차,N002,해지절차,low,중대한 계약 위반이 발생한 경우 상대방에게 30일의 시정기간을 부여한 후 해지할 수 있다.,계약서 검토 시 위험 여부와 근거를 확인
CON-02,contract_02.pdf,제11조 기존IP보호,N006,기존IP보호,low,각 당사자가 계약 체결 전 보유한 지식재산권은 원 소유자에게 귀속된다.,계약서 검토 시 위험 여부와 근거를 확인
CON-03,contract_03.pdf,제4조 데이터영구보관,R011,데이터영구보관,high,계약 종료 후에도 고객 데이터를 기간 제한 없이 보관하고 서비스 개선에 활용할 수 있다.,계약서 검토 시 위험 여부와 근거를 확인
